Gender,canton,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,CH,7.7,7.2,8.2,16979
Total,ZH,9.8,8.2,11.4,1881
Total,BE,6.9,5.4,8.4,1350
Total,LU,7,4.9,9.2,823
Total,UR,6.2,3.5,8.9,398
Total,SZ,5.8,4,7.5,784
Total,OW,4,2.1,5.8,379
Total,NW,.,.,.,.
Total,GL,.,.,.,.
Total,ZG,.,.,.,.
Total,FR,7.5,5.5,9.6,852
Total,SO,.,.,.,.
Total,BS,.,.,.,.
Total,BL,7.5,5.3,9.8,625
Total,SH,.,.,.,.
Total,AR,8.9,6,11.7,516
Total,AI,.,.,.,.
Total,SG,7.2,5.3,9.2,849
Total,GR,6.2,4.2,8.2,739
Total,AG,4.6,3.2,6,1021
Total,TG,6.2,4.3,8,842
Total,TI,5.4,3.9,6.8,1132
Total,VD,9.8,7.9,11.6,1430
Total,VS,6.9,4.8,8.9,770
Total,NE,8.4,5.7,11.2,489
Total,GE,8.6,6.6,10.5,955
Total,JU,7.6,4.9,10.3,395
Femmes,CH,5.1,4.5,5.7,8946
Femmes,ZH,5.8,4.2,7.5,987
Femmes,BE,6.1,4.3,8,741
Femmes,LU,4.8,2.5,7.1,427
Femmes,UR,3.8,0.8,6.8,214
Femmes,SZ,2,0.5,3.5,392
Femmes,OW,.,.,.,.
Femmes,NW,.,.,.,.
Femmes,GL,.,.,.,.
Femmes,ZG,.,.,.,.
Femmes,FR,4.7,2.5,6.9,451
Femmes,SO,.,.,.,.
Femmes,BS,.,.,.,.
Femmes,BL,5.1,2.6,7.5,350
Femmes,SH,.,.,.,.
Femmes,AR,4.3,1.4,7.2,252
Femmes,AI,.,.,.,.
Femmes,SG,4.6,2.5,6.7,430
Femmes,GR,3.7,1.8,5.6,393
Femmes,AG,2.3,0.9,3.8,535
Femmes,TG,4,2,6.1,434
Femmes,TI,4.7,2.7,6.6,579
Femmes,VD,5.8,3.9,7.7,751
Femmes,VS,3.4,1.4,5.4,407
Femmes,NE,6.3,3,9.6,263
Femmes,GE,6.3,4,8.5,524
Femmes,JU,4.5,1.7,7.3,214
Hommes,CH,10.3,9.4,11.1,8033
Hommes,ZH,13.5,10.8,16.2,894
Hommes,BE,7.8,5.4,10.1,609
Hommes,LU,9.1,5.7,12.6,396
Hommes,UR,8.7,4.2,13.3,184
Hommes,SZ,9.1,6,12.1,392
Hommes,OW,5.7,2.5,8.8,173
Hommes,NW,.,.,.,.
Hommes,GL,.,.,.,.
Hommes,ZG,.,.,.,.
Hommes,FR,10.3,6.8,13.8,401
Hommes,SO,.,.,.,.
Hommes,BS,.,.,.,.
Hommes,BL,10.4,6.4,14.3,275
Hommes,SH,.,.,.,.
Hommes,AR,12.5,8,17,264
Hommes,AI,.,.,.,.
Hommes,SG,9.6,6.4,12.7,419
Hommes,GR,8.7,5.2,12.1,346
Hommes,AG,6.9,4.4,9.4,486
Hommes,TG,8.2,5.2,11.3,408
Hommes,TI,6,3.8,8.1,553
Hommes,VD,13.5,10.5,16.6,679
Hommes,VS,10.3,6.8,13.7,363
Hommes,NE,10.6,6.2,15.1,226
Hommes,GE,11,7.7,14.2,431
Hommes,JU,10.7,6.2,15.3,181
